,name,value
89,lithium bromide,235
90,isopropylmagnesium chloride,229
91,TurboGrignard,228
92,bis(acetylacetonate)nickel(II),227
93,dichloro{bis[1-(dicyclohexylphosphanyl)piperidine]}palladium(II),226
94,hydroquinone,221
95,"bis(1,5-cyclooctadiene)nickel (0)",221
96,tert.-butyl lithium,206
97,silica gel,205
98,"(1,2-dimethoxyethane)dichloronickel(II)",204
99,ethylmagnesium bromide,195
100,"1,10-Phenanthroline",193
101,"2,3-dicyano-5,6-dichloro-p-benzoquinone",187
102,tert-butyl XPhos,187
103,L-proline,185
104,bis[2-(diphenylphosphino)phenyl] ether,181
105,silver trifluoromethanesulfonate,179
106,DavePhos,177
107,bis(eta3-allyl-mu-chloropalladium(II)),177
108,chloro-trimethyl-silane,175
109,zinc trifluoromethanesulfonate,175
110,copper,174
111,sodium hydride,165
112,tricyclohexylphosphine,162
113,ytterbium(III) triflate,157
114,"N,N`-dimethylethylenediamine",156
115,"N,N,N,N,N,N-hexamethylphosphoric triamide",155
116,tris-(o-tolyl)phosphine,151
117,manganese(ll) chloride,148
118,indium(III) triflate,147
119,CyJohnPhos,147
120,"diethyl 2,6-dimethyl-1,4-dihydropyridine-3,5-dicarboxylate",144
121,indium(III) bromide,143
122,"1,3-bis-(diphenylphosphino)propane",143
123,lithium perchlorate,140
124,perchloric acid,140
125,copper(I) oxide,137
126,benzoic acid,136
127,tert-butylammonium hexafluorophosphate(V),135
128,potassium 2-methylbutan-2-olate,133
129,bis(tricyclohexylphosphine)nickel(II) dichloride,133
130,"dicyclohexyl-(2?,4?,6?-triisopropyl-3,6-dimethoxy-[1,1?-biphenyl]-2-yl)phosphine",131
131,potassium fluoride,130
132,silver hexafluoroantimonate,130
133,tributylphosphine,126
134,potassium acetate,126
135,trifluoromethylsulfonic anhydride,126
136,phenylsilane,126
137,diethylaluminium chloride,126
138,2-picoline borane complex,124
139,cerium(III) chloride,123
140,formic acid,122
141,copper dichloride,120
142,magnesium bromide,119
143,calcium(II) bis(trifluoromethanesulfonyl)imide,119
144,"2,6-dimethylpyridine",119
145,amberlyst-15,114
146,PPA,113
147,lithium tert-butoxide,112
148,"bis[chloro(1,2,3-trihapto-allylbenzene)palladium(II)]",110
149,tris(pentafluorophenyl)borate,110
150,sodium dodecyl-sulfate,109
151,palladium(l) tri-tert-butylphosphine iodide dimer,108
152,nickel(II) perchlorate hexahydrate,106
153,copper(ll) bromide,105
154,cesium fluoride,104
155,sodium methylate,104
156,palladium dichloride,104
157,"zinc chloride-2,2,6,6-tetramethylpiperidin-1-ide lithium chloride complex",103
158,"catalyst 1 (aliphatic, phosphine based pincer complex of palladium)",103
159,isopropylmagnesium bromide,103
160,palladium,102
161,"1,4-diaza-bicyclo[2.2.2]octane",101
162,Pd-PEPPSI-IPrAn,99
163,[((Me)NN2)NiCl],98
164,trimethylsilyl trifluoromethanesulfonate,97
165,copper(l) cyanide,96
166,thionyl chloride,95
167,zinc(II) iodide,94
168,cobalt(II) iodide,94
169,"2,6-di-tert-butyl-4-methyl-phenol",94
170,bis(trifluoromethanesulfonyl)amide,93
171,"1,2-bis-(dicyclohexylphosphino)ethane",92
172,boric acid,91
173,copper(II) oxide,91
174,"dichloro(1,3-bis(2,6-bis(3-pentyl)phenyl)imidazolin-2-ylidene)(3-chloropyridyl)palladium(II)",90
175,"3-(3,5-bis-trifluoromethyl-phenylamino)-4-{[(S)-(6-methoxy-quinolin-4-yl)-((R)-5-vinyl-1-aza-bicyclo[2.2.2]oct-2-yl)-methyl]-amino}-cyclobut-3-ene-1,2-dione",86
176,bromine,86
177,chromium dichloride,85
178,iron(II) bromide,85
179,nickel(II) bromide dimethoxyethane,84
180,cobalt(III) acetylacetonate,84
181,sodium iodide,84
182,titanium(IV) tetraethanolate,83
183,"4,4'-di-tert-butyl-2,2'-bipyridine",82
184,carbon monoxide,82
185,indium,82
186,"Bis<2-(N,N-dimethylamino)aethyl>aether",81
187,lithium,80
188,dibutyltin chloride,80
189,"1,3-bis(mesityl)imidazolium chloride",79
190,"2,2,6,6-tetramethylpiperidinylmagnesium chloride lithium chloride complex",79
191,manganese(IV) oxide,79
192,copper(II) ferrite,78
193,trifluoroacetic anhydride,78
194,zirconium(IV) chloride,78
195,copper immobilized at polyimide covalent organic framework,77
196," di-tert-butyl(2,2-diphenyl-1-methyl-1-cyclopropyl)phosphine",77
197,copper(I) bromide dimethylsulfide complex,77
198,cesium acetate,76
199,o-phenylenebis(diphenylphosphine),76
200,"monophosphine 1,2,3,4,5-pentaphenyl-1'-(di-tert-butylphosphino)ferrocene",76
201,gold(III) chloride,76
202,"[2-(di-tert-butylphosphino)-2?,4?,6?-triisopropyl-1,1?-biphenyl][2-((2-aminoethyl)phenyl)]palladium(II) chloride",75
203,(triphenylphosphine)gold(I) chloride,75
204,copper(ll) sulfate pentahydrate,74
205,gallium(III) triflate,74
206,ammonium cerium (IV) nitrate,74
207,aluminium(III) triflate,73
208,cetyltrimethylammonim bromide,73
209,tetra(n-butyl)ammonium hydroxide,72
210,copper(I) cyanide di(lithium chloride),71
211,tin(ll) chloride,71
212,camphor-10-sulfonic acid,70
213,"(S,S)-2,2'-isopropylidenebis(4-phenyl-2-oxazoline)",70
214,N-Bromosuccinimide,69
215,aluminum tri-bromide,68
216,nickel diacetate,68
217,graphene oxide,68
218,"5-(di-tert-butylphosphino)-1?, 3?, 5?-triphenyl-1?H-[1,4?]bipyrazole",68
219,"(4R,4'R)-2,2'-(propane-2,2'diyl)bis(4-phenyl-4,5-dihydrooxazole)",68
220,dimethylaluminum chloride,67
221,copper(I) thiophene-2-carboxylate,67
222,"(R)-2,2'-bis(diphenylphosphanyl)-1,1'-binaphthyl",67
223,(2S)-2-{diphenyl[(trimethylsilyl)oxy]methyl}pyrrolidine,66
224,1-methyl-1H-imidazole,66
225,"[1,3-bis(2,6-diisoheptylphenyl)-4,5-dichloroimidazol-2-ylidene](3-chloropyridyl)palladium(II) dichloride",65
226,ethylaluminum dichloride,65
227,tris(p-bromophenylammoniumyl) hexachloroantimonate,64
228,"(1,3-bis(2,6-diisopropylphenyl)-3,4,5,6-tetrahydropyrimidin-2-ylidene)Pd(cinnamyl, 3-phenylallyl)Cl",64
229,lithium diisopropyl amide,64
230,"chloro[2-(dicyclohexylphosphino)-3 ,6-dimethoxy-2?,4?, 6?-triisopropyl- 1,1?-biphenyl] [2-(2-aminoethyl)phenyl]palladium(II)",63
231,silver trifluoroacetate,63
232,"buta-1,3-diene",63
233,"2?-(dicyclohexylphophanyl)-N2,N2,N6,N6-tetramethyl[1,1?-biphenyl]-2,6-diamine",63
234,diethylzinc,62
235,dichloro bis(acetonitrile) palladium(II),62
236,P(i-BuNCH2)3CMe,62
237,18-crown-6 ether,62
238,methylaluminum dichloride,61
239,methanesulfonic acid,61
240,antimony(III) chloride,60
241,"trans-N,N'-dimethylcyclohexane-1,2-diamine",60
242,perrhenic acid anhydride,60
243,potassium borohydride,59
244,niobium pentachloride,58
245,Li2CoCl4,58
246,diisobutylaluminium hydride,58
247,piperidine,58
248,iron(II) chloride,58
249,(IPr)Ni(pi-allyl)Cl,57
250,"1,2-bis-(diphenylphosphino)ethane",57
251,"(S)-(1,1'-binaphthalene)-2,2'-diylbis(diphenylphosphine)",57
252,"chloro(2-dicyclohexylphosphino-2?,4?,6?-triisopropyl-1,1?-biphenyl)[2-(2?-amino-1,1?-biphenyl?)]palladium(II)",57
253,silver(I) triflimide,56
254,"2,2-bis<2-<4(R),5(R)-diphenyl-1,3-oxazolinyl>>propane",56
255,cobalt acetylacetonate,56
256,C23H28N4,56
257,tetrabutyl ammonium fluoride,56
258,borane pyridine,56
259,cobalt(II) bromide,56
260,"4,4'-dimethyl-2,2'-bipyridines",55
261,sodium formate,55
262,C80H49NO6P2,55
263,trineopentyl phosphine,55
264,C26H24ClN2NiP*0.1C7H8,55
265,lithium iodide,54
266,"tricyclohexylphosphine[1,3-bis(2,4,6-trimethylphenyl)-4,5-dihydroimidazol-2-ylidine][benzylidene]ruthenium(II) dichloride",54
267,C30H25BrN3PPdS,54
268,stannic bromide,54
269,copper(II) nitrate,54
270,"(R)-3,3'-dibromo-1,1'-bi-2-naphthol",53
271,"(1R,2R)-bis(dimethylamino)cyclohexane",53
272,C36H45Cl2N3OPd,53
273,zinc(II) oxide,52
274,"1,3-dimethyl-3,4,5,6-tetrahydro-2(1H)-pyrimidinone",52
275,iron(III) oxide,52
276,sodium tert-pentoxide,52
277,dichloro(pentamethylcyclopentadienyl)rhodium (III) dimer,52
278,"dichloro(3-chloropyridinyl)(1,3-(diisopropylphenyl)-4,5-bis(dimethylamino)imidazol-2-ylidene)palladium(II)",52
279,copper acetylacetonate,51
280,"[(2-di-cyclohexylphosphino-3,6-dimethoxy-2?,4?,6?-triisopropyl-1,1?-biphenyl)-2-(2?-amino-1,1?-biphenyl)]palladium(II) methanesulfonate",51
281,rhenium(VII) oxide,51
282,"1,3,5-trichloro-2,4,6-triazine",51
283,ammonia,51
284,C36H43Cl2N3Pd,51
285,"[(1,3-(2,6-diisopropylphenyl)imidazol-2-ylidene)(3-chloropyridyl)palladium(II) dichloride]",50
286,"N,N'-diethylurea",50
287,bismuth(III) chloride,49
288,"(4S,4'S)-2,2'-(1,3-bis(4-fluorophenyl)propane-2,2-diyl)bis(4-benzyl-4,5-dihydrooxazole)",49
289,zirconocene dichloride,49
290,methylmagnesium chloride,49
291,acetyl chloride,49
292,"1,3-dimethyl-2-imidazolidinone",49
293,zinc diacetate,48
294,"(R)-3,3'-bis(triphenylsilyl)-1,1'-binaphthyl-2,2'-diyl hydrogenphosphate",48
295,boron trichloride,48
296,"[(2-di-tert-butylphosphino-2?,4?,6?-triisopropyl-1, 1?-biphenyl)-2-(2?-amino-1,1?-biphenyl)] palladium(II) methanesulfonate",48
297,hafnium tetrakis(trifluoromethanesulfonate),48
298,oxalyl dichloride,47
299,silicotungstic acid supported on Amberlyst 15 beads (WSi/A15 catalyst),47
300,acetic anhydride,47
301,Lawessons reagent,46
302,"[1,1'-bis(diphenylphosphino)ferrocene]nickel(II) chloride",46
303,n-tetradecanoic acid,46
304,ammonium formate,46
305,C24H52Cl2O12P4Pd2,46
306,butyl magnesium bromide,46
307,tris(1-methylethyl)phosphine,46
308,[Cu(4-(dimethylamino)pyridine)4I]I,45
309,"di(1-adamantyl)-4-(N,N-dimethyl)amino-phenyl-phosphane trifluoroacetic acid",45
310,[Pd(IPr*)(acac)Cl],45
311,n-hexyllithium,45
312,nickel(II) triflate,45
313,palladium(II) acetylacetonate,44
314,[nickel(II)dichloride(dimethoxyethane)],44
315,"(4S,4S')-(-)-2,2'-(1-methylethylidene)bis[4,5-dihydro-4-(phenylmethyl)oxazole]",44
316,iron(III) trifluoromethanesulfonate,44
317,P(i-BuNCH2CH2)3N,44
318,C46H34I4O6,43
319,montmorillonite K-10,43
320,dimethylmonochlorosilane,43
321,samarium (III) iodide,43
322,tetrakis(actonitrile)copper(I) hexafluorophosphate,43
323,zirconium(IV) tert-butoxide,43
324,triisopropoxytitanium(IV) chloride,43
325,"(1R,2R)-1,2-diaminocyclohexane",43
326,potassium iodide,42
327,iron(III) perchlorate hydrate,42
328,"1,1,1,3',3',3'-hexafluoro-propanol",42
329,C43H64N4O4,42
330,"1-hydroxy-3H-benz[d][1,2]iodoxole-1,3-dione",42
331,"2,2,6,6-Tetramethyl-1-piperidinyloxy free radical",42
332,"1,1'-bi-2-naphthol",41
333,C35H31BrN4NiP,41
334,"2,2'-iminobis[ethanol]",41
335,chromium chloride,41
336,pyrrolidine,41
337,isopentyl nitrite,41
338,"(5aS,10bR)-5a,10b-dihydro-2-(2,4,6-trimethylphenyl)-4H,6H-indeno[2,1-b]-1,2,4-triazolo[4,3-d]-1,4-oxazinium chloride",41
339,C33H40ClN3O2Pd,41
340,C36H27NOP2*CH3O3S(1-)*C12H10N(1-)*Pd(2+),41
341,titanium(IV) oxide,41
342,silver carbonate,41
343,C19H14N4NiO2,41
344,polyphosphoric acid,41
345,tin(II) chloride dihdyrate,41
346,dihydrogen peroxide,40
347,tripiperidino-phosphine,40
348,"N,N?-bis(2,6-diisopropylphenyl)imidazol-2-ylidene hydrochloride",40
349,di-tert-butylneopentylphosphonium tetrafluoroborate,40
350,"[1,4-bis(diphenylphosphino)butane] palladium(ll) dichloride",40
351,1-decanoic acid,40
352,"(R)-3,3'-bis(2,4,6-triisopropylphenyl)binol phosphoric acid",39
353,10-camphorsufonic acid,39
354,nickel,39
355,(trimethylsilyl)methylmagnesium chloride,39
356,phosphorus pentoxide,39
357,"2,8,9-tris(2-methylpropyl)-2,5,8,9-tetraaza-1-phosphabicyclo[3.3.3]undecane",39
358,tetrabutylammonium tetrafluoroborate,39
359,tetra-(n-butyl)ammonium iodide,38
360,beta?cyclodextrin,38
361,magnesium chloride,38
362,bis(di-tert-?butyl(4-?dimethylaminophenyl)?phosphine)?dichloropalladium(II),38
363,copper(I) sulfide,38
364,aluminum oxide,38
365,lithium methanolate,38
366,Schwartz's reagent,38
367,antimony(III) sulfate,38
368,C35H44Cl2N4Pd,38
369,tris-(4-bromophenyl)aminium hexachloroantimonate,38
370,"chloro(1,5-cyclooctadiene)rhodium(I) dimer",38
371,ferroceniumboronic acid hexafluoroantimonate salt,38
372,sodium azide,38
373,"1-(3,5-bis(trifluoromethyl)phenyl)-3-((S)-(6-methoxyquinolin-4-yl)((2S,4S,8R)-8-vinylquinuclidin-2-yl)methyl)thiourea",38
374,C62H52Cu2F6N2O4,37
375,3-chloro-benzenecarboperoxoic acid,37
376,1-methyl-3-(4-sulfobutyl)-1H-imidazol-3-ium hydrogensulfate,37
377,bis(cyclopentadienyl)titanium dichloride,37
378,C29H37O2P,37
379,silver tetrafluoroborate,36
380,copper(II) tungstate,36
381,C33H52N4O4,36
382,aminosulfonic acid,36
383,C31H26F6N4O2,35
384,ruthenium trichloride,35
385,"dichloro[propane-1,3-diylbis(diphenylphosphane)]nickel(II)",35
386,pyridine N-oxide,35
387,diphenylsilane,35
388,potassium hexamethylsilazane,35
389,di-tert-butyl peroxide,35
390,tetramethylpiperidinylzinc chloride lithium chloride,35
391,aluminium(III) chloride hexahydrate,34
392,"N',N'-diphenyl-1H-pyrrole-2-carbohydrazide",34
393,o-tetrachloroquinone,34
394,"1-((1S,2S)-2-aminocyclohexyl)-3-(((1R,4aS,10aR)-7-isopropyl-1,4a-dimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthren-1-yl)methyl)thiourea",34
395,phosphorus trichloride,34
396,nitrosonium tetrafluoroborate,34
397,bis(bipyridine)nickel(II) bromide,34
398,(6-Dipp)PdCl2-SPhos,34
399,(SIPr)Pd(cinnanmyl)Cl,34
400,iron(II) acetate,34
401,"bis{1,1?-diphenyl-3,3?-methylenediimidazoline-2,2?-diylidene}nickel(II) dibromide",34
402,C33H48N7P,34
403,"[Pd(N,N'-bis(2,6-bis(di-p-tolylmethyl)-4-methylphenyl)-imidazol-2-ylidene)(acetylacetonate)Cl]",33
404,pentafluorophenylboronic acid,33
405,C32H39N2OP,33
406,[bis(acetoxy)iodo]benzene,33
407,sulfur,33
408,C29H21Cl2O4P,33
409,Trimethyl borate,33
410,tbepc,32
411,"bis((1,1,1-trifluoro-N-(trifluoromethyl)sulfonyl)methylsulfonamido)zinc",32
412,[Ni(DHASICy)CpCl],32
413,mercury dichloride,32
414,"2,2-bis[(4S)-4-isopropyloxazolin-2-yl]propane",32
415,C17H36ClN6NiP2(1+)*Cl(1-),32
416,phosphotungstic acid,32
417,(SIPr)Pd(methallyl)Cl,32
418,ascorbic acid,32
419,samarium(III) trifluoromethanesulfonate,32
420,"chloro[2-(dicyclohexylphosphino)-3,6-dimethoxy-2?,4?,6?-triisopropyl-1,1?-biphenyl] [2-(2-aminoethyl)phenyl]palladium(II)",32
421,"2,3,4,5-tetrafluorophenyl(dihydroxy)borane",32
422,C38H34Br2N4Ni2P2,31
423,"4-n-butyl-4-(3-sulfopropyl)thiomorpholinium 1,1-dioxide trifluoromethane sulfonate",31
424,C46H55ClFeN3Pd,31
425,dicobalt octacarbonyl,31
426,C40H55Cl5N3Pd,31
427,samarium diiodide,31
428,C36H43Cl2N3OPd,31
429,"(E)-1,4-bis(2,2-dioxido-3,3a,4,8b-tetrahydro-1H-indeno[1,2-c]isothiazol-1-yl)but-2-ene-1,4-dione",31
430,"[1,3-bis(2,6-diisopentylphenyl)-4,5-dichloroimidazol-2-ylidene](3-chloropyridyl)palladium(II) dichloride",31
431,Pd(pi-crotyl)(QPhos)Cl,31
432,triethyl borane,31
433,nickel(II) bromide trihydrate,31
434,(2-phenyl-1H-inden-3-yl)-dicyclohexylphosphinium tetrafluoroborate,31
435,urea,31
436,PdCl2(C3H3N2(CH3))(C3H2N2(C6H3(C3H7)2)2),31
437,N-heterocyclic carbene-based nickel(II) complex,31
438,hydrogen bromide,31
439,para-fluorostyrene,31
440,C32H26ClN2NiP,31
441,"2-di-tertbutylphosphino-3,4,5,6-tetramethyl-2',4',6'-triisopropyl-1,1'-biphenyl",31
442,iron(II) triflate,31
443,sodium hexamethyldisilazane,31
444,D-glucosamine hydrochloride,31
445,isoprene,31
446,2-(dicyclohexylphosphino)-2'-methylbiphenyl,31
447,((C6H4)(PPh2)(NCHPhP(O)Ph2))NiCl,30
448,C63H54Cl3N3OPd,30
449,tri(p-tolyl)antimony,30
450,"(11aR)-10,11,12,13-tetrahydro-5-hydroxy-3,7-bis[2,4,6-triisopropylphenyl]-5-oxide-diindeno[7,1-de:1',7?-fg][1,3,2]dioxaphosphocin",30
451,(C5H5)Fe(C5H3C(CH3)NC6H4CH3)PdCl(CN2(C6H3(CH(CH3)2)2)2C2H2),30
452,C21H18N8Ni2O(2+)*2F6P(1-),30
453,"2,6-bis((S)-4-isopropyl-4,5-dihydrooxazol-2-yl)pyridine",30
454,diphenyl hydrogen phosphate,30
455,C21H16CuN2O2,30
456,"(R)-6,6'-bis(2,4,6-triisopropylphenyl)-1,1'-spirobiindanyl-7,7'-diyl hydrogen phosphate",30
457,palladium(II) trifluoroacetate,30
458,"1,4-diazabicyclo[2.2.2]octan-1-ium hydrogensulfate",30
459,C45H47O3P,30
460,dodecylbenzenesulfonic acid,30
461,iron(II) acetylacetonate,30
462,potassium hydrogensulfate,30
463,C26H18CuN2O8S2(2-)*2Na(1+),30
464,HMTAB,29
465,nano n-propylsulfonated gamma-Fe2O3,29
466,manganese,29
467,C16H34ClPPd,29
468,"1-((dimethylamino)methyl)-N,N-dimethylcyclopentanamine",29
469,NHC-Pd(II)-Im,29
470,bis(triphenylphosphine)nickel(II) diiodide,29
471,"2'-(di-tert-butylphosphanyl)-N,N-dimethyl-[1,1'-biphenyl]-2-amine",29
472,sodium hydrogensulfate monohydrate,29
473,Copper(II) immobilized into prolinamide-modified polyacrylonitrile fiber,29
474,C43H62Br2N4O4,29
475,"2,6-bis<5',5'-diphenyl-4'-(S)-isopropyl oxazolin-2'-yl>pyridine",29
476,bis[(S)-4-phenyloxazoline-2-yl]-2-(thienyl)-ethene,29
477,silver nitrate,29
478,C28H29Cl2N3OPd,28
479,C34H39N3O4Pd,28
480,di-tert-butyl[dichloro({di-tert-butyl[4-(dimethylamino)phenyl]phosphaniumyl})palladio][4-(dimethylamino)phenyl]phosphanium,28
481,"bis(2,2,6,6-tetramethylpiperidinyl)zinc, lithium chloride, magnesium chloride complex",28
482,"4,4',4-tri-tert-butyl-2,2':6',2-terpyridine",28
483,sodium chloride,28
484,D-glucose,28
485,iron(III) trifluoride,28
486,"1-(3,5-bis(trifluoromethyl)phenyl)-3-((S)-(6-methoxyquinolin-4-yl)((1S,2S,4S,5R)-5-vinylquinuclidin-2-yl)methyl)thiourea",28
487,copper (II)-fluoride,28
488,silica gel supported sodium hydrogen sulfate,28
489,Pd/Al(OH)3,28
490,K-10 montmorillonite,28
491,4-nitrophthalic acid,28
492,C40H50BrCl2N3Pd,28
493,CoCuFe2O4,28
494,iron(II) sulfate,28
495,dipotassium peroxodisulfate,28
496,ferric hydrogen sulphate,28
497,sodium periodate,28
498,"chloro-(2-dicyclohexylphosphino-2?,6?-diisopropoxy-1,1?-biphenyl)[2-(2-aminoethyl)phenyl]palladium(II) methyl-tert-butyl ether adduct",27
499,C21H17F3OP(1+)*C32H12BF24(1-),27
500,silver perchlorate,27
501,"1?(2?hydroxyethyl)?1,4?diazabicyclo[2.2.2]octanylium tetrachloroferrate",27
502,di-mu-iodobis(tri-t-butylphosphino)dipalladium(l),27
503,1-Phenylprop-1-yne,27
504,methylmagnesium bromide,27
505,[Pd{C6H4(CH2N(CH2Ph)2)}(mu-Br)]2,27
506,potassium tetrakis(pentafluorophenyl)borate,27
507,Dimethylphenylsilane,27
508,Ni(Cl){2-(Ph2P)C6H4NCH(Ph)P(O)Ph2},27
509,acyltransferase from bacterium Pseudomonas sp.YGJ3,27
510,"(R)-((4,4?-bi-1,3-benzodioxole)-5,5?-diyl)bis(bis(3,5-di-t-butyl-4-methoxyphenyl))phosphine",27
511,tetrabutylammonium borohydride,27
512,"[1,1?-bis(diphenylphosphino)ferrocene]bis(triphenylphosphite)nickel(0)",27
513,tetrafluoroboric acid,27
514,C45H31O4P,27
515,trichlorophosphate,26
516,dichloro bis((p-dimethylaminophenyl)-?-di-tert-butylphosphine)palladium(II),26
517,"2,6-bis(2,2-dimethylpropionylamino)benzoic acid",26
518,copper(II) perchlorate hexahydrate,26
519,C33H48N4O4,26
520,sodium,26
521,C36H50Cl3N5Pd,26
522,palladium(II) trimethylacetate,26
523,"((2-dicyclohexylphosphino-2',4?,6?-triisopropyl-1,1?-biphenyl)[2-(2?-amino-1,1?-biphenyl)]palladium(II) methanesulfonate)",26
524,"bis(1,5-cyclooctadiene)diiridium(I) dichloride",26
525,CuCN*2LiCl,26
526,"chloro(2-dicyclohexylphosphino-2?,6?-diisopropoxy-1,1?-biphenyl)[2-(2?-amino-1,1?-biphenyl)]palladium(II)",26
527,CuMoO4,26
528,"(1,3-bis(2,6-diisopropyl-4-((E)-3-methoxy-3-oxoprop-1-en-1-yl)phenyl)-2,3-dihydro-1H-imidazole-2-yl)copper(I) chloride",25
529,aluminium,25
530,(R)-(-)-1-[(S)-2-(dicyclohexylphosphino)ferrocenyl]ethyl di-t-butylphosphine,25
531,4 Angstroem MS,25
532,poly(ethylene glycol)-bound sulfonic acid,25
533,Ambertite ZRP-69 resin,25
534,"1,3-bis(3,5-bis(trifluoro-ethyl)phenyl)thiourea",25
535,"[(2-dicyclohexylphosphino-2?,6?-bis(N,N-dimethylamino)-1,1?-biphenyl)-2-(2?-amino-1,1?-biphenyl)]palladium(II) methanesulfonate",25
536,succinimide-N-sulfonic acid,25
537,(R)-2-(diphenyl(trimethylsilyloxy)methyl)pyrrolidine,25
538,OTips-DalPhos,25
539,"[bis-1,3-(2,4,6-triisopropylbenzyl)-5,6-dimethylbenzimidazol-2-ylidene]-N-(3-Chloropyridine)dichloropalladium(II)",25
540,"(±)-[2,2'-bis(diphenylphosphino)-1,1'-binaphthyl]bis(triphenylphosphite)nickel(0) toluene solvate",25
541,"dibenzylphosphoramidous acid 1,1'-binaphthyl-2,2'-diyl ester",25
542,nickel(II) bromide 2-methoxyethyl ether complex,25
543,dichlorobis(tri-O-tolylphosphine)palladium,25
544,tetrabutyl-ammonium chloride,25
545,phosphonic acid diethyl ester,25
546,C18H27N9Yb(3+)*3AlCl4(1-)*C2H3N,25
547,copper(II) trifluoroacetate,25
548,C24H30N8,24
549,"2,6-bis[(4R)-4,5-dihydro-4-(1-methylethyl)-2-oxazolyl]-pyridine",24
550,Pd2(dba)4,24
551,C32H28F6N4O3,24
552,iron oxide,24
553,"[Cu((S,S)-((CH3)3CCHCH2OCN)2C(CH3)2)](SbF6)2",24
554,vanadium(III) chloride,24
555,trityl tetrakis(pentafluorophenyl)borate,24
556,ammonium hydroxide,24
557,"9-{[5-(diphenylphosphanyl)-9,9-dimethyl-9H-xanthen-4-yl]diphenyl-lambda4-phosphanyl}-O-methanesulfonyl-8-methyl-8lambda4-aza-9-palladatricyclo[8.4.0.02,7]tetradeca-1(14),2,4,6,10,12-hexaene-9,9-bis(ylium)-10-uid-9-olate",24
558,"[4,4?-bis(1,1-dimethylethyl)-2,2?-bipyridine-N1,N1?]bis [3,5-difluoro-2-[5-(trifluoromethyl)-2-pyridinyl-N]phenyl-C]iridium(III) hexafluorophosphate",24
559,C51H64Cl2CoN4P3Si2,24
